,n_cases
2011-01-03,1
2011-01-10,0
2011-01-17,3
2011-01-24,3
2011-01-31,3
2011-02-07,1
2011-02-14,0
2011-02-21,0
2011-02-28,0
2011-03-07,1
2011-03-14,3
2011-03-21,0
2011-03-28,2
2011-04-04,2
2011-04-11,3
2011-04-18,3
2011-04-25,0
2011-05-02,3
2011-05-09,2
2011-05-16,1
2011-05-23,2
2011-05-30,1
2011-06-06,1
2011-06-13,0
2011-06-20,3
2011-06-27,1
2011-07-04,2
2011-07-11,0
2011-07-18,0
2011-07-25,2
2011-08-01,5
2011-08-08,2
2011-08-15,0
2011-08-22,3
2011-08-29,6
2011-09-05,1
2011-09-12,2
2011-09-19,1
2011-09-26,2
2011-10-03,0
2011-10-10,2
2011-10-17,0
2011-10-24,3
2011-10-31,9
2011-11-07,41
2011-11-14,45
2011-11-21,17
2011-11-28,3
2011-12-05,3
2011-12-12,5
2011-12-19,11
2011-12-26,5
